@N: MF284 |Setting synthesis effort to medium for the design
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_20 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_21 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_22 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_23 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_24 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_25 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_26 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_27 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_28 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_29 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_30 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_31 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_32 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_33 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_34 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_35 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_36 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_37 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_38 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_39 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_40 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_41 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_42 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_43 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_44 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_45 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_46 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_47 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_48 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_49 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_50 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_51 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_52 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_53 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_54 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_55 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_56 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_57 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_58 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_59 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_60 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_61 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_62 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_63 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_64 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_65 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_66 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance NoName_67 (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][32] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][33] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][34] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][35] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][36] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][37] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][38] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][39] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][40] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][41] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][42] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][43] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][44] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][45] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][46] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][47] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][48] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][49] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][50] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][51] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][52] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][53] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[1\][54] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][32] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][33] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][34] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][35] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][36] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][37] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][38] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][39] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][40] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][41] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][42] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][43] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][44] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][45] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][46] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][47] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][48] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][49] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][50] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][51] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][52] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][53] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[2\][54] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[0\][32] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/accumulate/accumulate.sv":32:0:32:5|Removing sequential instance p_hit_squared\[0\][33] (in view: work.accumulate(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
